SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.3612,-0.2097,0
-1,0,-0.2097,-0.0582,62857408
0,1,-0.0582,0.0933,29546842
1,2,0.0933,0.2447,3609355
2,3,0.2447,0.3962,1843014
3,4,0.3962,0.5477,950017
4,5,0.5477,0.6992,502367
5,6,0.6992,0.8507,271938
6,7,0.8507,1.0022,154279
7,8,1.0022,1.1537,91332
8,9,1.1537,1.3052,56004
9,10,1.3052,1.4566,36481
10,11,1.4566,1.6081,24236
11,12,1.6081,1.7596,16597
12,13,1.7596,1.9111,11500
13,14,1.9111,2.0626,8073
14,15,2.0626,2.2141,5802
15,16,2.2141,2.3656,4197
16,17,2.3656,2.5170,2925
17,18,2.5170,2.6685,2327
18,19,2.6685,2.8200,1783
19,20,2.8200,2.9715,1317
20,21,2.9715,3.1230,834
21,22,3.1230,3.2745,525
22,23,3.2745,3.4260,329
23,24,3.4260,3.5775,217
24,25,3.5775,3.7289,126
25,26,3.7289,3.8804,81
26,27,3.8804,4.0319,50
27,28,4.0319,4.1834,26
28,29,4.1834,4.3349,6
29,30,4.3349,4.4864,8
30,31,4.4864,4.6379,1
31,32,4.6379,4.7894,2
32,33,4.7894,4.9408,1
33,34,4.9408,5.0923,0
34,35,5.0923,5.2438,0
35,36,5.2438,5.3953,0
36,37,5.3953,5.5468,0
37,38,5.5468,5.6983,0
38,39,5.6983,5.8498,0
39,40,5.8498,6.0012,0
40,41,6.0012,6.1527,0
41,42,6.1527,6.3042,0
42,43,6.3042,6.4557,0
43,44,6.4557,6.6072,0
44,45,6.6072,6.7587,0
45,46,6.7587,6.9102,0
46,47,6.9102,7.0617,0
47,48,7.0617,7.2131,0
48,49,7.2131,7.3646,0
49,50,7.3646,7.5161,0
50,51,7.5161,7.6676,0
51,52,7.6676,7.8191,0
52,53,7.8191,7.9706,0
53,54,7.9706,8.1221,0
54,55,8.1221,8.2736,0
55,56,8.2736,8.4250,0
56,57,8.4250,8.5765,0
57,58,8.5765,8.7280,0
58,59,8.7280,8.8795,0
59,60,8.8795,9.0310,0
60,61,9.0310,9.1825,0
61,62,9.1825,9.3340,0
62,63,9.3340,9.4854,0
63,64,9.4854,9.6369,0
64,65,9.6369,9.7884,0
65,66,9.7884,9.9399,0
66,67,9.9399,10.0914,0
67,68,10.0914,10.2429,0
68,69,10.2429,10.3944,0
69,70,10.3944,10.5459,0
70,71,10.5459,10.6973,0
71,72,10.6973,10.8488,0
72,73,10.8488,11.0003,0
73,74,11.0003,11.1518,0
74,75,11.1518,11.3033,0
75,76,11.3033,11.4548,0
76,77,11.4548,11.6063,0
77,78,11.6063,11.7578,0
78,79,11.7578,11.9092,0
79,80,11.9092,12.0607,0
80,81,12.0607,12.2122,0
81,82,12.2122,12.3637,0
82,83,12.3637,12.5152,0
83,84,12.5152,12.6667,0
84,85,12.6667,12.8182,0
85,86,12.8182,12.9696,0
86,87,12.9696,13.1211,0
87,88,13.1211,13.2726,0
88,89,13.2726,13.4241,0
89,90,13.4241,13.5756,0
90,91,13.5756,13.7271,0
91,92,13.7271,13.8786,0
92,93,13.8786,14.0301,0
93,94,14.0301,14.1815,0
94,95,14.1815,14.3330,0
95,96,14.3330,14.4845,0
96,97,14.4845,14.6360,0
97,98,14.6360,14.7875,0
98,99,14.7875,14.9390,0
