SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.4059,-0.2312,0
-1,0,-0.2312,-0.0566,60892674
0,1,-0.0566,0.1181,33781185
1,2,0.1181,0.2928,2135822
2,3,0.2928,0.4675,1155726
3,4,0.4675,0.6422,693543
4,5,0.6422,0.8169,433191
5,6,0.8169,0.9916,278600
6,7,0.9916,1.1663,186645
7,8,1.1663,1.3410,134524
8,9,1.3410,1.5157,101286
9,10,1.5157,1.6904,76201
10,11,1.6904,1.8651,54492
11,12,1.8651,2.0398,35330
12,13,2.0398,2.2145,20469
13,14,2.2145,2.3892,10893
14,15,2.3892,2.5639,5137
15,16,2.5639,2.7386,2247
16,17,2.7386,2.9133,1070
17,18,2.9133,3.0880,477
18,19,3.0880,3.2627,218
19,20,3.2627,3.4374,105
20,21,3.4374,3.6121,72
21,22,3.6121,3.7868,47
22,23,3.7868,3.9615,13
23,24,3.9615,4.1361,12
24,25,4.1361,4.3108,9
25,26,4.3108,4.4855,4
26,27,4.4855,4.6602,4
27,28,4.6602,4.8349,0
28,29,4.8349,5.0096,1
29,30,5.0096,5.1843,0
30,31,5.1843,5.3590,0
31,32,5.3590,5.5337,0
32,33,5.5337,5.7084,0
33,34,5.7084,5.8831,0
34,35,5.8831,6.0578,0
35,36,6.0578,6.2325,0
36,37,6.2325,6.4072,1
37,38,6.4072,6.5819,0
38,39,6.5819,6.7566,1
39,40,6.7566,6.9313,1
40,41,6.9313,7.1060,0
41,42,7.1060,7.2807,0
42,43,7.2807,7.4554,0
43,44,7.4554,7.6301,0
44,45,7.6301,7.8048,0
45,46,7.8048,7.9795,0
46,47,7.9795,8.1541,0
47,48,8.1541,8.3288,0
48,49,8.3288,8.5035,0
49,50,8.5035,8.6782,0
50,51,8.6782,8.8529,0
51,52,8.8529,9.0276,0
52,53,9.0276,9.2023,0
53,54,9.2023,9.3770,0
54,55,9.3770,9.5517,0
55,56,9.5517,9.7264,0
56,57,9.7264,9.9011,0
57,58,9.9011,10.0758,0
58,59,10.0758,10.2505,0
59,60,10.2505,10.4252,0
60,61,10.4252,10.5999,0
61,62,10.5999,10.7746,0
62,63,10.7746,10.9493,0
63,64,10.9493,11.1240,0
64,65,11.1240,11.2987,0
65,66,11.2987,11.4734,0
66,67,11.4734,11.6481,0
67,68,11.6481,11.8228,0
68,69,11.8228,11.9975,0
69,70,11.9975,12.1722,0
70,71,12.1722,12.3468,0
71,72,12.3468,12.5215,0
72,73,12.5215,12.6962,0
73,74,12.6962,12.8709,0
74,75,12.8709,13.0456,0
75,76,13.0456,13.2203,0
76,77,13.2203,13.3950,0
77,78,13.3950,13.5697,0
78,79,13.5697,13.7444,0
79,80,13.7444,13.9191,0
80,81,13.9191,14.0938,0
81,82,14.0938,14.2685,0
82,83,14.2685,14.4432,0
83,84,14.4432,14.6179,0
84,85,14.6179,14.7926,0
85,86,14.7926,14.9673,0
86,87,14.9673,15.1420,0
87,88,15.1420,15.3167,0
88,89,15.3167,15.4914,0
89,90,15.4914,15.6661,0
90,91,15.6661,15.8408,0
91,92,15.8408,16.0155,0
92,93,16.0155,16.1902,0
93,94,16.1902,16.3649,0
94,95,16.3649,16.5395,0
95,96,16.5395,16.7142,0
96,97,16.7142,16.8889,0
97,98,16.8889,17.0636,0
98,99,17.0636,17.2383,0
