SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.3398,-0.1982,0
-1,0,-0.1982,-0.0567,64849089
0,1,-0.0567,0.0849,23983212
1,2,0.0849,0.2264,6476985
2,3,0.2264,0.3680,2641697
3,4,0.3680,0.5095,1096805
4,5,0.5095,0.6511,479500
5,6,0.6511,0.7926,224629
6,7,0.7926,0.9342,111536
7,8,0.9342,1.0757,58134
8,9,1.0757,1.2173,31471
9,10,1.2173,1.3588,17864
10,11,1.3588,1.5003,10554
11,12,1.5003,1.6419,6450
12,13,1.6419,1.7834,3973
13,14,1.7834,1.9250,2454
14,15,1.9250,2.0665,1647
15,16,2.0665,2.2081,1091
16,17,2.2081,2.3496,724
17,18,2.3496,2.4912,519
18,19,2.4912,2.6327,395
19,20,2.6327,2.7743,310
20,21,2.7743,2.9158,246
21,22,2.9158,3.0574,203
22,23,3.0574,3.1989,176
23,24,3.1989,3.3405,92
24,25,3.3405,3.4820,81
25,26,3.4820,3.6236,51
26,27,3.6236,3.7651,35
27,28,3.7651,3.9067,32
28,29,3.9067,4.0482,20
29,30,4.0482,4.1898,9
30,31,4.1898,4.3313,8
31,32,4.3313,4.4728,1
32,33,4.4728,4.6144,2
33,34,4.6144,4.7559,3
34,35,4.7559,4.8975,0
35,36,4.8975,5.0390,0
36,37,5.0390,5.1806,2
37,38,5.1806,5.3221,0
38,39,5.3221,5.4637,0
39,40,5.4637,5.6052,0
40,41,5.6052,5.7468,0
41,42,5.7468,5.8883,0
42,43,5.8883,6.0299,0
43,44,6.0299,6.1714,0
44,45,6.1714,6.3130,0
45,46,6.3130,6.4545,0
46,47,6.4545,6.5961,0
47,48,6.5961,6.7376,0
48,49,6.7376,6.8792,0
49,50,6.8792,7.0207,0
50,51,7.0207,7.1623,0
51,52,7.1623,7.3038,0
52,53,7.3038,7.4453,0
53,54,7.4453,7.5869,0
54,55,7.5869,7.7284,0
55,56,7.7284,7.8700,0
56,57,7.8700,8.0115,0
57,58,8.0115,8.1531,0
58,59,8.1531,8.2946,0
59,60,8.2946,8.4362,0
60,61,8.4362,8.5777,0
61,62,8.5777,8.7193,0
62,63,8.7193,8.8608,0
63,64,8.8608,9.0024,0
64,65,9.0024,9.1439,0
65,66,9.1439,9.2855,0
66,67,9.2855,9.4270,0
67,68,9.4270,9.5686,0
68,69,9.5686,9.7101,0
69,70,9.7101,9.8517,0
70,71,9.8517,9.9932,0
71,72,9.9932,10.1348,0
72,73,10.1348,10.2763,0
73,74,10.2763,10.4178,0
74,75,10.4178,10.5594,0
75,76,10.5594,10.7009,0
76,77,10.7009,10.8425,0
77,78,10.8425,10.9840,0
78,79,10.9840,11.1256,0
79,80,11.1256,11.2671,0
80,81,11.2671,11.4087,0
81,82,11.4087,11.5502,0
82,83,11.5502,11.6918,0
83,84,11.6918,11.8333,0
84,85,11.8333,11.9749,0
85,86,11.9749,12.1164,0
86,87,12.1164,12.2580,0
87,88,12.2580,12.3995,0
88,89,12.3995,12.5411,0
89,90,12.5411,12.6826,0
90,91,12.6826,12.8242,0
91,92,12.8242,12.9657,0
92,93,12.9657,13.1073,0
93,94,13.1073,13.2488,0
94,95,13.2488,13.3904,0
95,96,13.3904,13.5319,0
96,97,13.5319,13.6734,0
97,98,13.6734,13.8150,0
98,99,13.8150,13.9565,0
