SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.5143,-0.2576,0
-1,0,-0.2576,-0.0009,71736976
0,1,-0.0009,0.2558,18988107
1,2,0.2558,0.5125,4945774
2,3,0.5125,0.7692,2045207
3,4,0.7692,1.0259,1006249
4,5,1.0259,1.2825,550609
5,6,1.2825,1.5392,312265
6,7,1.5392,1.7959,179586
7,8,1.7959,2.0526,105487
8,9,2.0526,2.3093,55850
9,10,2.3093,2.5660,32946
10,11,2.5660,2.8227,18378
11,12,2.8227,3.0794,9894
12,13,3.0794,3.3361,5419
13,14,3.3361,3.5928,2912
14,15,3.5928,3.8495,1613
15,16,3.8495,4.1062,859
16,17,4.1062,4.3629,571
17,18,4.3629,4.6196,361
18,19,4.6196,4.8763,238
19,20,4.8763,5.1330,172
20,21,5.1330,5.3897,147
21,22,5.3897,5.6463,86
22,23,5.6463,5.9030,68
23,24,5.9030,6.1597,51
24,25,6.1597,6.4164,47
25,26,6.4164,6.6731,33
26,27,6.6731,6.9298,19
27,28,6.9298,7.1865,16
28,29,7.1865,7.4432,16
29,30,7.4432,7.6999,10
30,31,7.6999,7.9566,4
31,32,7.9566,8.2133,5
32,33,8.2133,8.4700,7
33,34,8.4700,8.7267,2
34,35,8.7267,8.9834,4
35,36,8.9834,9.2401,1
36,37,9.2401,9.4968,6
37,38,9.4968,9.7534,1
38,39,9.7534,10.0101,1
39,40,10.0101,10.2668,2
40,41,10.2668,10.5235,0
41,42,10.5235,10.7802,1
42,43,10.7802,11.0369,0
43,44,11.0369,11.2936,0
44,45,11.2936,11.5503,0
45,46,11.5503,11.8070,0
46,47,11.8070,12.0637,0
47,48,12.0637,12.3204,0
48,49,12.3204,12.5771,0
49,50,12.5771,12.8338,0
50,51,12.8338,13.0905,0
51,52,13.0905,13.3472,0
52,53,13.3472,13.6039,0
53,54,13.6039,13.8606,0
54,55,13.8606,14.1172,0
55,56,14.1172,14.3739,0
56,57,14.3739,14.6306,0
57,58,14.6306,14.8873,0
58,59,14.8873,15.1440,0
59,60,15.1440,15.4007,0
60,61,15.4007,15.6574,0
61,62,15.6574,15.9141,0
62,63,15.9141,16.1708,0
63,64,16.1708,16.4275,0
64,65,16.4275,16.6842,0
65,66,16.6842,16.9409,0
66,67,16.9409,17.1976,0
67,68,17.1976,17.4543,0
68,69,17.4543,17.7110,0
69,70,17.7110,17.9677,0
70,71,17.9677,18.2244,0
71,72,18.2244,18.4810,0
72,73,18.4810,18.7377,0
73,74,18.7377,18.9944,0
74,75,18.9944,19.2511,0
75,76,19.2511,19.5078,0
76,77,19.5078,19.7645,0
77,78,19.7645,20.0212,0
78,79,20.0212,20.2779,0
79,80,20.2779,20.5346,0
80,81,20.5346,20.7913,0
81,82,20.7913,21.0480,0
82,83,21.0480,21.3047,0
83,84,21.3047,21.5614,0
84,85,21.5614,21.8181,0
85,86,21.8181,22.0748,0
86,87,22.0748,22.3315,0
87,88,22.3315,22.5881,0
88,89,22.5881,22.8448,0
89,90,22.8448,23.1015,0
90,91,23.1015,23.3582,0
91,92,23.3582,23.6149,0
92,93,23.6149,23.8716,0
93,94,23.8716,24.1283,0
94,95,24.1283,24.3850,0
95,96,24.3850,24.6417,0
96,97,24.6417,24.8984,0
97,98,24.8984,25.1551,0
98,99,25.1551,25.4118,0
