SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.2953,-0.1671,7351444
-1,0,-0.1671,-0.0388,30565537
0,1,-0.0388,0.0894,59017732
1,2,0.0894,0.2176,1718633
2,3,0.2176,0.3458,491193
3,4,0.3458,0.4740,232496
4,5,0.4740,0.6022,144757
5,6,0.6022,0.7304,100553
6,7,0.7304,0.8586,73628
7,8,0.8586,0.9868,56572
8,9,0.9868,1.1150,44553
9,10,1.1150,1.2432,36221
10,11,1.2432,1.3714,28952
11,12,1.3714,1.4996,23311
12,13,1.4996,1.6278,19528
13,14,1.6278,1.7560,16228
14,15,1.7560,1.8842,13652
15,16,1.8842,2.0124,11120
16,17,2.0124,2.1406,9399
17,18,2.1406,2.2688,7871
18,19,2.2688,2.3970,6645
19,20,2.3970,2.5252,5676
20,21,2.5252,2.6534,4606
21,22,2.6534,2.7816,3865
22,23,2.7816,2.9098,2955
23,24,2.9098,3.0380,2455
24,25,3.0380,3.1662,1964
25,26,3.1662,3.2944,1594
26,27,3.2944,3.4226,1310
27,28,3.4226,3.5508,1104
28,29,3.5508,3.6790,951
29,30,3.6790,3.8072,701
30,31,3.8072,3.9355,585
31,32,3.9355,4.0637,415
32,33,4.0637,4.1919,336
33,34,4.1919,4.3201,287
34,35,4.3201,4.4483,234
35,36,4.4483,4.5765,187
36,37,4.5765,4.7047,165
37,38,4.7047,4.8329,106
38,39,4.8329,4.9611,81
39,40,4.9611,5.0893,75
40,41,5.0893,5.2175,57
41,42,5.2175,5.3457,43
42,43,5.3457,5.4739,40
43,44,5.4739,5.6021,23
44,45,5.6021,5.7303,25
45,46,5.7303,5.8585,31
46,47,5.8585,5.9867,15
47,48,5.9867,6.1149,16
48,49,6.1149,6.2431,9
49,50,6.2431,6.3713,9
50,51,6.3713,6.4995,9
51,52,6.4995,6.6277,13
52,53,6.6277,6.7559,6
53,54,6.7559,6.8841,6
54,55,6.8841,7.0123,5
55,56,7.0123,7.1405,2
56,57,7.1405,7.2687,1
57,58,7.2687,7.3969,1
58,59,7.3969,7.5251,2
59,60,7.5251,7.6533,2
60,61,7.6533,7.7815,1
61,62,7.7815,7.9098,1
62,63,7.9098,8.0380,0
63,64,8.0380,8.1662,0
64,65,8.1662,8.2944,1
65,66,8.2944,8.4226,1
66,67,8.4226,8.5508,2
67,68,8.5508,8.6790,1
68,69,8.6790,8.8072,0
69,70,8.8072,8.9354,0
70,71,8.9354,9.0636,0
71,72,9.0636,9.1918,0
72,73,9.1918,9.3200,0
73,74,9.3200,9.4482,0
74,75,9.4482,9.5764,0
75,76,9.5764,9.7046,0
76,77,9.7046,9.8328,0
77,78,9.8328,9.9610,0
78,79,9.9610,10.0892,0
79,80,10.0892,10.2174,0
80,81,10.2174,10.3456,0
81,82,10.3456,10.4738,1
82,83,10.4738,10.6020,0
83,84,10.6020,10.7302,0
84,85,10.7302,10.8584,0
85,86,10.8584,10.9866,0
86,87,10.9866,11.1148,0
87,88,11.1148,11.2430,0
88,89,11.2430,11.3712,0
89,90,11.3712,11.4994,0
90,91,11.4994,11.6276,0
91,92,11.6276,11.7558,0
92,93,11.7558,11.8841,0
93,94,11.8841,12.0123,0
94,95,12.0123,12.1405,0
95,96,12.1405,12.2687,0
96,97,12.2687,12.3969,0
97,98,12.3969,12.5251,0
98,99,12.5251,12.6533,0
