SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.3610,-0.2033,0
-1,0,-0.2033,-0.0456,66139949
0,1,-0.0456,0.1121,22125442
1,2,0.1121,0.2698,6915506
2,3,0.2698,0.4275,2692231
3,4,0.4275,0.5851,1145547
4,5,0.5851,0.7428,520994
5,6,0.7428,0.9005,242192
6,7,0.9005,1.0582,113301
7,8,1.0582,1.2159,53917
8,9,1.2159,1.3736,25264
9,10,1.3736,1.5313,12153
10,11,1.5313,1.6890,6246
11,12,1.6890,1.8466,3177
12,13,1.8466,2.0043,1712
13,14,2.0043,2.1620,954
14,15,2.1620,2.3197,568
15,16,2.3197,2.4774,352
16,17,2.4774,2.6351,194
17,18,2.6351,2.7928,133
18,19,2.7928,2.9505,66
19,20,2.9505,3.1081,41
20,21,3.1081,3.2658,23
21,22,3.2658,3.4235,13
22,23,3.4235,3.5812,10
23,24,3.5812,3.7389,8
24,25,3.7389,3.8966,2
25,26,3.8966,4.0543,2
26,27,4.0543,4.2120,0
27,28,4.2120,4.3696,2
28,29,4.3696,4.5273,1
29,30,4.5273,4.6850,0
30,31,4.6850,4.8427,0
31,32,4.8427,5.0004,0
32,33,5.0004,5.1581,0
33,34,5.1581,5.3158,0
34,35,5.3158,5.4735,0
35,36,5.4735,5.6311,0
36,37,5.6311,5.7888,0
37,38,5.7888,5.9465,0
38,39,5.9465,6.1042,0
39,40,6.1042,6.2619,0
40,41,6.2619,6.4196,0
41,42,6.4196,6.5773,0
42,43,6.5773,6.7350,0
43,44,6.7350,6.8926,0
44,45,6.8926,7.0503,0
45,46,7.0503,7.2080,0
46,47,7.2080,7.3657,0
47,48,7.3657,7.5234,0
48,49,7.5234,7.6811,0
49,50,7.6811,7.8388,0
50,51,7.8388,7.9965,0
51,52,7.9965,8.1541,0
52,53,8.1541,8.3118,0
53,54,8.3118,8.4695,0
54,55,8.4695,8.6272,0
55,56,8.6272,8.7849,0
56,57,8.7849,8.9426,0
57,58,8.9426,9.1003,0
58,59,9.1003,9.2580,0
59,60,9.2580,9.4156,0
60,61,9.4156,9.5733,0
61,62,9.5733,9.7310,0
62,63,9.7310,9.8887,0
63,64,9.8887,10.0464,0
64,65,10.0464,10.2041,0
65,66,10.2041,10.3618,0
66,67,10.3618,10.5195,0
67,68,10.5195,10.6771,0
68,69,10.6771,10.8348,0
69,70,10.8348,10.9925,0
70,71,10.9925,11.1502,0
71,72,11.1502,11.3079,0
72,73,11.3079,11.4656,0
73,74,11.4656,11.6233,0
74,75,11.6233,11.7810,0
75,76,11.7810,11.9386,0
76,77,11.9386,12.0963,0
77,78,12.0963,12.2540,0
78,79,12.2540,12.4117,0
79,80,12.4117,12.5694,0
80,81,12.5694,12.7271,0
81,82,12.7271,12.8848,0
82,83,12.8848,13.0425,0
83,84,13.0425,13.2001,0
84,85,13.2001,13.3578,0
85,86,13.3578,13.5155,0
86,87,13.5155,13.6732,0
87,88,13.6732,13.8309,0
88,89,13.8309,13.9886,0
89,90,13.9886,14.1463,0
90,91,14.1463,14.3040,0
91,92,14.3040,14.4616,0
92,93,14.4616,14.6193,0
93,94,14.6193,14.7770,0
94,95,14.7770,14.9347,0
95,96,14.9347,15.0924,0
96,97,15.0924,15.2501,0
97,98,15.2501,15.4078,0
98,99,15.4078,15.5655,0
