SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.3603,-0.2036,0
-1,0,-0.2036,-0.0470,66038457
0,1,-0.0470,0.1097,22114534
1,2,0.1097,0.2664,6881518
2,3,0.2664,0.4231,2802318
3,4,0.4231,0.5797,1200728
4,5,0.5797,0.7364,531401
5,6,0.7364,0.8931,235335
6,7,0.8931,1.0498,103975
7,8,1.0498,1.2064,46812
8,9,1.2064,1.3631,21608
9,10,1.3631,1.5198,10766
10,11,1.5198,1.6765,5488
11,12,1.6765,1.8331,3021
12,13,1.8331,1.9898,1692
13,14,1.9898,2.1465,966
14,15,2.1465,2.3031,583
15,16,2.3031,2.4598,347
16,17,2.4598,2.6165,196
17,18,2.6165,2.7732,121
18,19,2.7732,2.9298,64
19,20,2.9298,3.0865,35
20,21,3.0865,3.2432,21
21,22,3.2432,3.3999,4
22,23,3.3999,3.5565,5
23,24,3.5565,3.7132,1
24,25,3.7132,3.8699,2
25,26,3.8699,4.0266,0
26,27,4.0266,4.1832,1
27,28,4.1832,4.3399,0
28,29,4.3399,4.4966,0
29,30,4.4966,4.6532,0
30,31,4.6532,4.8099,1
31,32,4.8099,4.9666,0
32,33,4.9666,5.1233,0
33,34,5.1233,5.2799,0
34,35,5.2799,5.4366,0
35,36,5.4366,5.5933,0
36,37,5.5933,5.7500,0
37,38,5.7500,5.9066,0
38,39,5.9066,6.0633,0
39,40,6.0633,6.2200,0
40,41,6.2200,6.3767,0
41,42,6.3767,6.5333,0
42,43,6.5333,6.6900,0
43,44,6.6900,6.8467,0
44,45,6.8467,7.0033,0
45,46,7.0033,7.1600,0
46,47,7.1600,7.3167,0
47,48,7.3167,7.4734,0
48,49,7.4734,7.6300,0
49,50,7.6300,7.7867,0
50,51,7.7867,7.9434,0
51,52,7.9434,8.1001,0
52,53,8.1001,8.2567,0
53,54,8.2567,8.4134,0
54,55,8.4134,8.5701,0
55,56,8.5701,8.7268,0
56,57,8.7268,8.8834,0
57,58,8.8834,9.0401,0
58,59,9.0401,9.1968,0
59,60,9.1968,9.3535,0
60,61,9.3535,9.5101,0
61,62,9.5101,9.6668,0
62,63,9.6668,9.8235,0
63,64,9.8235,9.9801,0
64,65,9.9801,10.1368,0
65,66,10.1368,10.2935,0
66,67,10.2935,10.4502,0
67,68,10.4502,10.6068,0
68,69,10.6068,10.7635,0
69,70,10.7635,10.9202,0
70,71,10.9202,11.0769,0
71,72,11.0769,11.2335,0
72,73,11.2335,11.3902,0
73,74,11.3902,11.5469,0
74,75,11.5469,11.7036,0
75,76,11.7036,11.8602,0
76,77,11.8602,12.0169,0
77,78,12.0169,12.1736,0
78,79,12.1736,12.3302,0
79,80,12.3302,12.4869,0
80,81,12.4869,12.6436,0
81,82,12.6436,12.8003,0
82,83,12.8003,12.9569,0
83,84,12.9569,13.1136,0
84,85,13.1136,13.2703,0
85,86,13.2703,13.4270,0
86,87,13.4270,13.5836,0
87,88,13.5836,13.7403,0
88,89,13.7403,13.8970,0
89,90,13.8970,14.0537,0
90,91,14.0537,14.2103,0
91,92,14.2103,14.3670,0
92,93,14.3670,14.5237,0
93,94,14.5237,14.6803,0
94,95,14.6803,14.8370,0
95,96,14.8370,14.9937,0
96,97,14.9937,15.1504,0
97,98,15.1504,15.3070,0
98,99,15.3070,15.4637,0
