SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.5344,-0.2597,0
-1,0,-0.2597,0.0149,98000468
0,1,0.0149,0.2896,568877
1,2,0.2896,0.5642,320888
2,3,0.5642,0.8389,220141
3,4,0.8389,1.1136,166443
4,5,1.1136,1.3882,130153
5,6,1.3882,1.6629,104737
6,7,1.6629,1.9375,84991
7,8,1.9375,2.2122,69062
8,9,2.2122,2.4868,55822
9,10,2.4868,2.7615,44683
10,11,2.7615,3.0361,36415
11,12,3.0361,3.3108,29708
12,13,3.3108,3.5854,24155
13,14,3.5854,3.8601,19688
14,15,3.8601,4.1348,16405
15,16,4.1348,4.4094,13821
16,17,4.4094,4.6841,11779
17,18,4.6841,4.9587,10098
18,19,4.9587,5.2334,8614
19,20,5.2334,5.5080,7803
20,21,5.5080,5.7827,7140
21,22,5.7827,6.0573,6173
22,23,6.0573,6.3320,5680
23,24,6.3320,6.6066,5302
24,25,6.6066,6.8813,4695
25,26,6.8813,7.1560,4176
26,27,7.1560,7.4306,3690
27,28,7.4306,7.7053,3310
28,29,7.7053,7.9799,2820
29,30,7.9799,8.2546,2487
30,31,8.2546,8.5292,1923
31,32,8.5292,8.8039,1658
32,33,8.8039,9.0785,1296
33,34,9.0785,9.3532,1082
34,35,9.3532,9.6278,859
35,36,9.6278,9.9025,682
36,37,9.9025,10.1772,531
37,38,10.1772,10.4518,447
38,39,10.4518,10.7265,340
39,40,10.7265,11.0011,259
40,41,11.0011,11.2758,190
41,42,11.2758,11.5504,122
42,43,11.5504,11.8251,102
43,44,11.8251,12.0997,84
44,45,12.0997,12.3744,53
45,46,12.3744,12.6491,35
46,47,12.6491,12.9237,29
47,48,12.9237,13.1984,23
48,49,13.1984,13.4730,10
49,50,13.4730,13.7477,8
50,51,13.7477,14.0223,12
51,52,14.0223,14.2970,8
52,53,14.2970,14.5716,9
53,54,14.5716,14.8463,4
54,55,14.8463,15.1209,1
55,56,15.1209,15.3956,3
56,57,15.3956,15.6703,1
57,58,15.6703,15.9449,2
58,59,15.9449,16.2196,1
59,60,16.2196,16.4942,1
60,61,16.4942,16.7689,0
61,62,16.7689,17.0435,0
62,63,17.0435,17.3182,1
63,64,17.3182,17.5928,0
64,65,17.5928,17.8675,0
65,66,17.8675,18.1421,0
66,67,18.1421,18.4168,0
67,68,18.4168,18.6915,0
68,69,18.6915,18.9661,0
69,70,18.9661,19.2408,0
70,71,19.2408,19.5154,0
71,72,19.5154,19.7901,0
72,73,19.7901,20.0647,0
73,74,20.0647,20.3394,0
74,75,20.3394,20.6140,0
75,76,20.6140,20.8887,0
76,77,20.8887,21.1633,0
77,78,21.1633,21.4380,0
78,79,21.4380,21.7127,0
79,80,21.7127,21.9873,0
80,81,21.9873,22.2620,0
81,82,22.2620,22.5366,0
82,83,22.5366,22.8113,0
83,84,22.8113,23.0859,0
84,85,23.0859,23.3606,0
85,86,23.3606,23.6352,0
86,87,23.6352,23.9099,0
87,88,23.9099,24.1846,0
88,89,24.1846,24.4592,0
89,90,24.4592,24.7339,0
90,91,24.7339,25.0085,0
91,92,25.0085,25.2832,0
92,93,25.2832,25.5578,0
93,94,25.5578,25.8325,0
94,95,25.8325,26.1071,0
95,96,26.1071,26.3818,0
96,97,26.3818,26.6564,0
97,98,26.6564,26.9311,0
98,99,26.9311,27.2058,0
