SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.3495,-0.2061,0
-1,0,-0.2061,-0.0628,64345118
0,1,-0.0628,0.0806,26473600
1,2,0.0806,0.2240,4746467
2,3,0.2240,0.3673,2211457
3,4,0.3673,0.5107,1062449
4,5,0.5107,0.6541,532900
5,6,0.6541,0.7974,279510
6,7,0.7974,0.9408,150195
7,8,0.9408,1.0841,83184
8,9,1.0841,1.2275,46900
9,10,1.2275,1.3709,26580
10,11,1.3709,1.5142,15340
11,12,1.5142,1.6576,9365
12,13,1.6576,1.8009,5634
13,14,1.8009,1.9443,3622
14,15,1.9443,2.0877,2410
15,16,2.0877,2.2310,1578
16,17,2.2310,2.3744,1089
17,18,2.3744,2.5178,825
18,19,2.5178,2.6611,523
19,20,2.6611,2.8045,405
20,21,2.8045,2.9478,279
21,22,2.9478,3.0912,178
22,23,3.0912,3.2346,131
23,24,3.2346,3.3779,92
24,25,3.3779,3.5213,68
25,26,3.5213,3.6647,42
26,27,3.6647,3.8080,23
27,28,3.8080,3.9514,16
28,29,3.9514,4.0947,9
29,30,4.0947,4.2381,7
30,31,4.2381,4.3815,1
31,32,4.3815,4.5248,1
32,33,4.5248,4.6682,0
33,34,4.6682,4.8116,1
34,35,4.8116,4.9549,0
35,36,4.9549,5.0983,0
36,37,5.0983,5.2416,0
37,38,5.2416,5.3850,0
38,39,5.3850,5.5284,0
39,40,5.5284,5.6717,0
40,41,5.6717,5.8151,0
41,42,5.8151,5.9585,0
42,43,5.9585,6.1018,1
43,44,6.1018,6.2452,0
44,45,6.2452,6.3885,0
45,46,6.3885,6.5319,0
46,47,6.5319,6.6753,0
47,48,6.6753,6.8186,0
48,49,6.8186,6.9620,0
49,50,6.9620,7.1053,0
50,51,7.1053,7.2487,0
51,52,7.2487,7.3921,0
52,53,7.3921,7.5354,0
53,54,7.5354,7.6788,0
54,55,7.6788,7.8222,0
55,56,7.8222,7.9655,0
56,57,7.9655,8.1089,0
57,58,8.1089,8.2522,0
58,59,8.2522,8.3956,0
59,60,8.3956,8.5390,0
60,61,8.5390,8.6823,0
61,62,8.6823,8.8257,0
62,63,8.8257,8.9691,0
63,64,8.9691,9.1124,0
64,65,9.1124,9.2558,0
65,66,9.2558,9.3991,0
66,67,9.3991,9.5425,0
67,68,9.5425,9.6859,0
68,69,9.6859,9.8292,0
69,70,9.8292,9.9726,0
70,71,9.9726,10.1160,0
71,72,10.1160,10.2593,0
72,73,10.2593,10.4027,0
73,74,10.4027,10.5460,0
74,75,10.5460,10.6894,0
75,76,10.6894,10.8328,0
76,77,10.8328,10.9761,0
77,78,10.9761,11.1195,0
78,79,11.1195,11.2629,0
79,80,11.2629,11.4062,0
80,81,11.4062,11.5496,0
81,82,11.5496,11.6929,0
82,83,11.6929,11.8363,0
83,84,11.8363,11.9797,0
84,85,11.9797,12.1230,0
85,86,12.1230,12.2664,0
86,87,12.2664,12.4097,0
87,88,12.4097,12.5531,0
88,89,12.5531,12.6965,0
89,90,12.6965,12.8398,0
90,91,12.8398,12.9832,0
91,92,12.9832,13.1266,0
92,93,13.1266,13.2699,0
93,94,13.2699,13.4133,0
94,95,13.4133,13.5566,0
95,96,13.5566,13.7000,0
96,97,13.7000,13.8434,0
97,98,13.8434,13.9867,0
98,99,13.9867,14.1301,0
