SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.3233,-0.1785,0
-1,0,-0.1785,-0.0336,44519380
0,1,-0.0336,0.1113,52796872
1,2,0.1113,0.2561,838269
2,3,0.2561,0.4010,518774
3,4,0.4010,0.5459,347159
4,5,0.5459,0.6908,243375
5,6,0.6908,0.8356,175775
6,7,0.8356,0.9805,130139
7,8,0.9805,1.1254,97801
8,9,1.1254,1.2702,74231
9,10,1.2702,1.4151,57365
10,11,1.4151,1.5600,44495
11,12,1.5600,1.7048,34984
12,13,1.7048,1.8497,27179
13,14,1.8497,1.9946,21324
14,15,1.9946,2.1395,16516
15,16,2.1395,2.2843,12888
16,17,2.2843,2.4292,9866
17,18,2.4292,2.5741,7745
18,19,2.5741,2.7189,5828
19,20,2.7189,2.8638,4508
20,21,2.8638,3.0087,3323
21,22,3.0087,3.1535,2604
22,23,3.1535,3.2984,1967
23,24,3.2984,3.4433,1600
24,25,3.4433,3.5882,1197
25,26,3.5882,3.7330,911
26,27,3.7330,3.8779,763
27,28,3.8779,4.0228,576
28,29,4.0228,4.1676,472
29,30,4.1676,4.3125,383
30,31,4.3125,4.4574,305
31,32,4.4574,4.6022,245
32,33,4.6022,4.7471,213
33,34,4.7471,4.8920,152
34,35,4.8920,5.0369,135
35,36,5.0369,5.1817,104
36,37,5.1817,5.3266,110
37,38,5.3266,5.4715,80
38,39,5.4715,5.6163,73
39,40,5.6163,5.7612,38
40,41,5.7612,5.9061,42
41,42,5.9061,6.0509,38
42,43,6.0509,6.1958,24
43,44,6.1958,6.3407,25
44,45,6.3407,6.4856,22
45,46,6.4856,6.6304,23
46,47,6.6304,6.7753,20
47,48,6.7753,6.9202,18
48,49,6.9202,7.0650,13
49,50,7.0650,7.2099,8
50,51,7.2099,7.3548,5
51,52,7.3548,7.4996,12
52,53,7.4996,7.6445,4
53,54,7.6445,7.7894,3
54,55,7.7894,7.9342,4
55,56,7.9342,8.0791,2
56,57,8.0791,8.2240,2
57,58,8.2240,8.3689,0
58,59,8.3689,8.5137,1
59,60,8.5137,8.6586,1
60,61,8.6586,8.8035,1
61,62,8.8035,8.9483,2
62,63,8.9483,9.0932,1
63,64,9.0932,9.2381,2
64,65,9.2381,9.3829,1
65,66,9.3829,9.5278,0
66,67,9.5278,9.6727,0
67,68,9.6727,9.8176,1
68,69,9.8176,9.9624,0
69,70,9.9624,10.1073,0
70,71,10.1073,10.2522,0
71,72,10.2522,10.3970,0
72,73,10.3970,10.5419,1
73,74,10.5419,10.6868,0
74,75,10.6868,10.8316,0
75,76,10.8316,10.9765,0
76,77,10.9765,11.1214,0
77,78,11.1214,11.2663,0
78,79,11.2663,11.4111,0
79,80,11.4111,11.5560,0
80,81,11.5560,11.7009,0
81,82,11.7009,11.8457,0
82,83,11.8457,11.9906,0
83,84,11.9906,12.1355,0
84,85,12.1355,12.2803,0
85,86,12.2803,12.4252,0
86,87,12.4252,12.5701,0
87,88,12.5701,12.7150,0
88,89,12.7150,12.8598,0
89,90,12.8598,13.0047,0
90,91,13.0047,13.1496,0
91,92,13.1496,13.2944,0
92,93,13.2944,13.4393,0
93,94,13.4393,13.5842,0
94,95,13.5842,13.7290,0
95,96,13.7290,13.8739,0
96,97,13.8739,14.0188,0
97,98,14.0188,14.1637,0
98,99,14.1637,14.3085,0
