SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.3894,-0.2132,0
-1,0,-0.2132,-0.0370,66863648
0,1,-0.0370,0.1392,21712887
1,2,0.1392,0.3155,6475691
2,3,0.3155,0.4917,2818667
3,4,0.4917,0.6679,1207870
4,5,0.6679,0.8441,488453
5,6,0.8441,1.0203,203942
6,7,1.0203,1.1965,97693
7,8,1.1965,1.3728,53217
8,9,1.3728,1.5490,31150
9,10,1.5490,1.7252,18560
10,11,1.7252,1.9014,11239
11,12,1.9014,2.0776,6904
12,13,2.0776,2.2538,3938
13,14,2.2538,2.4301,2388
14,15,2.4301,2.6063,1473
15,16,2.6063,2.7825,837
16,17,2.7825,2.9587,512
17,18,2.9587,3.1349,335
18,19,3.1349,3.3111,194
19,20,3.3111,3.4873,138
20,21,3.4873,3.6636,97
21,22,3.6636,3.8398,67
22,23,3.8398,4.0160,41
23,24,4.0160,4.1922,18
24,25,4.1922,4.3684,16
25,26,4.3684,4.5446,11
26,27,4.5446,4.7209,6
27,28,4.7209,4.8971,6
28,29,4.8971,5.0733,1
29,30,5.0733,5.2495,0
30,31,5.2495,5.4257,0
31,32,5.4257,5.6019,0
32,33,5.6019,5.7782,0
33,34,5.7782,5.9544,0
34,35,5.9544,6.1306,1
35,36,6.1306,6.3068,0
36,37,6.3068,6.4830,0
37,38,6.4830,6.6592,0
38,39,6.6592,6.8355,0
39,40,6.8355,7.0117,0
40,41,7.0117,7.1879,0
41,42,7.1879,7.3641,0
42,43,7.3641,7.5403,0
43,44,7.5403,7.7165,0
44,45,7.7165,7.8928,0
45,46,7.8928,8.0690,0
46,47,8.0690,8.2452,0
47,48,8.2452,8.4214,0
48,49,8.4214,8.5976,0
49,50,8.5976,8.7738,0
50,51,8.7738,8.9501,0
51,52,8.9501,9.1263,0
52,53,9.1263,9.3025,0
53,54,9.3025,9.4787,0
54,55,9.4787,9.6549,0
55,56,9.6549,9.8311,0
56,57,9.8311,10.0074,0
57,58,10.0074,10.1836,0
58,59,10.1836,10.3598,0
59,60,10.3598,10.5360,0
60,61,10.5360,10.7122,0
61,62,10.7122,10.8884,0
62,63,10.8884,11.0647,0
63,64,11.0647,11.2409,0
64,65,11.2409,11.4171,0
65,66,11.4171,11.5933,0
66,67,11.5933,11.7695,0
67,68,11.7695,11.9457,0
68,69,11.9457,12.1220,0
69,70,12.1220,12.2982,0
70,71,12.2982,12.4744,0
71,72,12.4744,12.6506,0
72,73,12.6506,12.8268,0
73,74,12.8268,13.0030,0
74,75,13.0030,13.1792,0
75,76,13.1792,13.3555,0
76,77,13.3555,13.5317,0
77,78,13.5317,13.7079,0
78,79,13.7079,13.8841,0
79,80,13.8841,14.0603,0
80,81,14.0603,14.2365,0
81,82,14.2365,14.4128,0
82,83,14.4128,14.5890,0
83,84,14.5890,14.7652,0
84,85,14.7652,14.9414,0
85,86,14.9414,15.1176,0
86,87,15.1176,15.2938,0
87,88,15.2938,15.4701,0
88,89,15.4701,15.6463,0
89,90,15.6463,15.8225,0
90,91,15.8225,15.9987,0
91,92,15.9987,16.1749,0
92,93,16.1749,16.3511,0
93,94,16.3511,16.5274,0
94,95,16.5274,16.7036,0
95,96,16.7036,16.8798,0
96,97,16.8798,17.0560,0
97,98,17.0560,17.2322,0
98,99,17.2322,17.4084,0
