Layer,Interval_Start,Interval_End,Start_SD,End_SD,Start_Activation,End_Activation,Actual_Start_Percentile,Actual_End_Percentile
6,99.0,99.9,4.0,9.0,0.5107,1.2275,99.37199100000001,99.93178
6,99.9,99.99,8.0,14.0,1.0841,1.9443,99.93178,99.99232099999999
6,99.99,99.999,13.0,20.0,1.8009,2.8045,99.99232099999999,99.999151
6,99.999,99.9999,19.0,26.0,2.6611,3.6647,99.999151,99.999941
6,99.9999,99.99999,25.0,30.0,3.5213,4.2381,99.999941,99.999996
6,99.99999,100.0,29.0,43.0,4.0947,6.1018,99.999996,100.0
7,0.0,25.0,-2.0,0.0,-0.3612,-0.0582,0.0,62.85740800000001
7,25.0,50.0,-1.0,0.0,-0.2097,-0.0582,62.85740800000001,62.85740800000001
7,50.0,75.0,-1.0,1.0,-0.2097,0.0933,62.85740800000001,92.40425
7,75.0,90.0,0.0,1.0,-0.0582,0.0933,92.40425,92.40425
7,90.0,95.0,0.0,2.0,-0.0582,0.2447,92.40425,96.013605
7,95.0,99.0,1.0,5.0,0.0933,0.6992,96.013605,99.30900299999999
7,99.0,99.9,4.0,10.0,0.5477,1.4566,99.30900299999999,99.919037
7,99.9,99.99,9.0,17.0,1.3052,2.517,99.919037,99.992367
7,99.99,99.999,16.0,22.0,2.3656,3.2745,99.992367,99.99915299999999
7,99.999,99.9999,21.0,26.0,3.123,3.8804,99.99915299999999,99.99990600000001
7,99.9999,99.99999,25.0,30.0,3.7289,4.4864,99.99990600000001,99.999996
7,99.99999,100.0,29.0,33.0,4.3349,4.9408,99.999996,100.0
8,0.0,25.0,-2.0,0.0,-0.3233,-0.0336,0.0,44.51938
8,25.0,50.0,-1.0,1.0,-0.1785,0.1113,44.51938,97.316252
8,50.0,75.0,0.0,1.0,-0.0336,0.1113,97.316252,97.316252
8,75.0,90.0,0.0,1.0,-0.0336,0.1113,97.316252,97.316252
8,90.0,95.0,0.0,1.0,-0.0336,0.1113,97.316252,97.316252
8,95.0,99.0,0.0,4.0,-0.0336,0.5459,97.316252,99.020454
8,99.0,99.9,3.0,13.0,0.401,1.8497,99.020454,99.905798
8,99.9,99.99,12.0,22.0,1.7048,3.1535,99.905798,99.99040000000001
8,99.99,99.999,21.0,33.0,3.0087,4.7471,99.99040000000001,99.999032
8,99.999,99.9999,32.0,47.0,4.6022,6.7753,99.999032,99.999918
8,99.9999,99.99999,46.0,59.0,6.6304,8.5137,99.999918,99.99999000000001
