SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-1.4374,-1.3655,2121
-19,-18,-1.3655,-1.2936,906
-18,-17,-1.2936,-1.2218,142
-17,-16,-1.2218,-1.1499,23
-16,-15,-1.1499,-1.0780,77
-15,-14,-1.0780,-1.0062,394
-14,-13,-1.0062,-0.9343,1915
-13,-12,-0.9343,-0.8624,5848
-12,-11,-0.8624,-0.7906,14480
-11,-10,-0.7906,-0.7187,25819
-10,-9,-0.7187,-0.6468,52894
-9,-8,-0.6468,-0.5750,127382
-8,-7,-0.5750,-0.5031,102339
-7,-6,-0.5031,-0.4312,39441
-6,-5,-0.4312,-0.3593,37864
-5,-4,-0.3593,-0.2875,76724
-4,-3,-0.2875,-0.2156,102905
-3,-2,-0.2156,-0.1437,712156
-2,-1,-0.1437,-0.0719,8751044
-1,0,-0.0719,-0.0000,38571063
0,1,-0.0000,0.0719,40153447
1,2,0.0719,0.1437,10031975
2,3,0.1437,0.2156,972083
3,4,0.2156,0.2875,183857
4,5,0.2875,0.3593,30897
5,6,0.3593,0.4312,1456
6,7,0.4312,0.5031,19
7,8,0.5031,0.5749,0
8,9,0.5749,0.6468,0
9,10,0.6468,0.7187,0
10,11,0.7187,0.7905,0
11,12,0.7905,0.8624,0
12,13,0.8624,0.9343,0
13,14,0.9343,1.0062,0
14,15,1.0062,1.0780,0
15,16,1.0780,1.1499,0
16,17,1.1499,1.2218,0
17,18,1.2218,1.2936,0
18,19,1.2936,1.3655,0
