SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-1.5998,-1.5198,174
-19,-18,-1.5198,-1.4399,210
-18,-17,-1.4399,-1.3599,265
-17,-16,-1.3599,-1.2799,402
-16,-15,-1.2799,-1.1999,440
-15,-14,-1.1999,-1.1199,594
-14,-13,-1.1199,-1.0399,867
-13,-12,-1.0399,-0.9599,1511
-12,-11,-0.9599,-0.8799,2096
-11,-10,-0.8799,-0.7999,5433
-10,-9,-0.7999,-0.7199,8566
-9,-8,-0.7199,-0.6399,13209
-8,-7,-0.6399,-0.5599,28191
-7,-6,-0.5599,-0.4800,62764
-6,-5,-0.4800,-0.4000,107976
-5,-4,-0.4000,-0.3200,178500
-4,-3,-0.3200,-0.2400,468763
-3,-2,-0.2400,-0.1600,1486959
-2,-1,-0.1600,-0.0800,6147272
-1,0,-0.0800,-0.0000,42922043
0,1,-0.0000,0.0800,39562317
1,2,0.0800,0.1600,6042716
2,3,0.1600,0.2400,1862491
3,4,0.2400,0.3200,598560
4,5,0.3200,0.4000,306611
5,6,0.4000,0.4800,133483
6,7,0.4800,0.5599,27216
7,8,0.5599,0.6399,11877
8,9,0.6399,0.7199,7074
9,10,0.7199,0.7999,3273
10,11,0.7999,0.8799,2292
11,12,0.8799,0.9599,1552
12,13,0.9599,1.0399,1092
13,14,1.0399,1.1199,774
14,15,1.1199,1.1999,470
15,16,1.1999,1.2799,327
16,17,1.2799,1.3599,250
17,18,1.3599,1.4399,198
18,19,1.4399,1.5198,150
