SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-2.2393,-2.1273,0
-19,-18,-2.1273,-2.0153,0
-18,-17,-2.0153,-1.9034,0
-17,-16,-1.9034,-1.7914,0
-16,-15,-1.7914,-1.6795,0
-15,-14,-1.6795,-1.5675,0
-14,-13,-1.5675,-1.4555,4
-13,-12,-1.4555,-1.3436,14
-12,-11,-1.3436,-1.2316,55
-11,-10,-1.2316,-1.1196,445
-10,-9,-1.1196,-1.0077,7838
-9,-8,-1.0077,-0.8957,18639
-8,-7,-0.8957,-0.7837,44409
-7,-6,-0.7837,-0.6718,58881
-6,-5,-0.6718,-0.5598,58913
-5,-4,-0.5598,-0.4479,82421
-4,-3,-0.4479,-0.3359,315924
-3,-2,-0.3359,-0.2239,1628298
-2,-1,-0.2239,-0.1120,9992839
-1,0,-0.1120,-0.0000,37598119
0,1,-0.0000,0.1120,37776070
1,2,0.1120,0.2239,10173594
2,3,0.2239,0.3359,1713916
3,4,0.3359,0.4479,327862
4,5,0.4479,0.5598,131615
5,6,0.5598,0.6718,46827
6,7,0.6718,0.7837,13756
7,8,0.7837,0.8957,9017
8,9,0.8957,1.0077,488
9,10,1.0077,1.1196,39
10,11,1.1196,1.2316,15
11,12,1.2316,1.3436,2
12,13,1.3436,1.4555,0
13,14,1.4555,1.5675,0
14,15,1.5675,1.6794,0
15,16,1.6794,1.7914,0
16,17,1.7914,1.9034,0
17,18,1.9034,2.0153,0
18,19,2.0153,2.1273,0
