SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-2.7309,-2.5944,0
-19,-18,-2.5944,-2.4578,0
-18,-17,-2.4578,-2.3213,0
-17,-16,-2.3213,-2.1847,0
-16,-15,-2.1847,-2.0482,0
-15,-14,-2.0482,-1.9117,0
-14,-13,-1.9117,-1.7751,0
-13,-12,-1.7751,-1.6386,0
-12,-11,-1.6386,-1.5020,0
-11,-10,-1.5020,-1.3655,0
-10,-9,-1.3655,-1.2289,0
-9,-8,-1.2289,-1.0924,0
-8,-7,-1.0924,-0.9558,2
-7,-6,-0.9558,-0.8193,36
-6,-5,-0.8193,-0.6827,318
-5,-4,-0.6827,-0.5462,7160
-4,-3,-0.5462,-0.4096,178584
-3,-2,-0.4096,-0.2731,1995616
-2,-1,-0.2731,-0.1366,12409995
-1,0,-0.1366,-0.0000,35412243
0,1,-0.0000,0.1365,36251767
1,2,0.1365,0.2731,11435617
2,3,0.2731,0.4096,1924832
3,4,0.4096,0.5462,183708
4,5,0.5462,0.6827,12640
5,6,0.6827,0.8193,58522
6,7,0.8193,0.9558,103638
7,8,0.9558,1.0924,23192
8,9,1.0924,1.2289,1945
9,10,1.2289,1.3655,180
10,11,1.3655,1.5020,5
11,12,1.5020,1.6386,0
12,13,1.6386,1.7751,0
13,14,1.7751,1.9116,0
14,15,1.9116,2.0482,0
15,16,2.0482,2.1847,0
16,17,2.1847,2.3213,0
17,18,2.3213,2.4578,0
18,19,2.4578,2.5944,0
