SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-1.5012,-1.4261,35
-19,-18,-1.4261,-1.3510,45
-18,-17,-1.3510,-1.2760,57
-17,-16,-1.2760,-1.2009,118
-16,-15,-1.2009,-1.1259,241
-15,-14,-1.1259,-1.0508,615
-14,-13,-1.0508,-0.9758,1354
-13,-12,-0.9758,-0.9007,3087
-12,-11,-0.9007,-0.8256,6442
-11,-10,-0.8256,-0.7506,12367
-10,-9,-0.7506,-0.6755,21313
-9,-8,-0.6755,-0.6005,31653
-8,-7,-0.6005,-0.5254,48086
-7,-6,-0.5254,-0.4503,88584
-6,-5,-0.4503,-0.3753,102661
-5,-4,-0.3753,-0.3002,54126
-4,-3,-0.3002,-0.2252,72270
-3,-2,-0.2252,-0.1501,1015909
-2,-1,-0.1501,-0.0751,10402666
-1,0,-0.0751,0.0000,37519470
0,1,0.0000,0.0751,38040704
1,2,0.0751,0.1501,10992053
2,3,0.1501,0.2252,1345191
3,4,0.2252,0.3002,182401
4,5,0.3002,0.3753,40149
5,6,0.3753,0.4504,8940
6,7,0.4504,0.5254,1310
7,8,0.5254,0.6005,3361
8,9,0.6005,0.6755,842
9,10,0.6755,0.7506,22
10,11,0.7506,0.8256,4
11,12,0.8256,0.9007,3
12,13,0.9007,0.9758,0
13,14,0.9758,1.0508,0
14,15,1.0508,1.1259,0
15,16,1.1259,1.2009,0
16,17,1.2009,1.2760,0
17,18,1.2760,1.3511,0
18,19,1.3511,1.4261,0
