SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-1.3671,-1.2988,1507
-19,-18,-1.2988,-1.2304,353
-18,-17,-1.2304,-1.1621,45
-17,-16,-1.1621,-1.0937,123
-16,-15,-1.0937,-1.0254,413
-15,-14,-1.0254,-0.9570,1311
-14,-13,-0.9570,-0.8886,3288
-13,-12,-0.8886,-0.8203,6876
-12,-11,-0.8203,-0.7519,12011
-11,-10,-0.7519,-0.6836,20742
-10,-9,-0.6836,-0.6152,53669
-9,-8,-0.6152,-0.5469,110887
-8,-7,-0.5469,-0.4785,94255
-7,-6,-0.4785,-0.4101,48464
-6,-5,-0.4101,-0.3418,21183
-5,-4,-0.3418,-0.2734,15667
-4,-3,-0.2734,-0.2051,67003
-3,-2,-0.2051,-0.1367,853538
-2,-1,-0.1367,-0.0684,9517485
-1,0,-0.0684,0.0000,37994192
0,1,0.0000,0.0684,39269537
1,2,0.0684,0.1367,10655361
2,3,0.1367,0.2051,1116290
3,4,0.2051,0.2734,117131
4,5,0.2734,0.3418,15389
5,6,0.3418,0.4101,1193
6,7,0.4101,0.4785,48
7,8,0.4785,0.5469,2
8,9,0.5469,0.6152,0
9,10,0.6152,0.6836,0
10,11,0.6836,0.7519,0
11,12,0.7519,0.8203,0
12,13,0.8203,0.8886,0
13,14,0.8886,0.9570,0
14,15,0.9570,1.0254,0
15,16,1.0254,1.0937,0
16,17,1.0937,1.1621,0
17,18,1.1621,1.2304,0
18,19,1.2304,1.2988,0
