SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-2.1615,-2.0534,0
-19,-18,-2.0534,-1.9453,3
-18,-17,-1.9453,-1.8372,22
-17,-16,-1.8372,-1.7292,166
-16,-15,-1.7292,-1.6211,737
-15,-14,-1.6211,-1.5130,3083
-14,-13,-1.5130,-1.4050,9093
-13,-12,-1.4050,-1.2969,20387
-12,-11,-1.2969,-1.1888,33447
-11,-10,-1.1888,-1.0807,40022
-10,-9,-1.0807,-0.9727,35326
-9,-8,-0.9727,-0.8646,24385
-8,-7,-0.8646,-0.7565,14612
-7,-6,-0.7565,-0.6484,12104
-6,-5,-0.6484,-0.5404,22170
-5,-4,-0.5404,-0.4323,50907
-4,-3,-0.4323,-0.3242,133407
-3,-2,-0.3242,-0.2162,1035082
-2,-1,-0.2162,-0.1081,9721147
-1,0,-0.1081,-0.0000,37965773
0,1,-0.0000,0.1081,38898166
1,2,0.1081,0.2161,10497871
2,3,0.2161,0.3242,1328941
3,4,0.3242,0.4323,139048
4,5,0.4323,0.5404,9463
5,6,0.5404,0.6484,670
6,7,0.6484,0.7565,58
7,8,0.7565,0.8646,1
8,9,0.8646,0.9727,0
9,10,0.9727,1.0807,0
10,11,1.0807,1.1888,0
11,12,1.1888,1.2969,0
12,13,1.2969,1.4049,0
13,14,1.4049,1.5130,0
14,15,1.5130,1.6211,0
15,16,1.6211,1.7292,0
16,17,1.7292,1.8372,0
17,18,1.8372,1.9453,0
18,19,1.9453,2.0534,0
