SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-1.4267,-1.3554,0
-19,-18,-1.3554,-1.2841,0
-18,-17,-1.2841,-1.2127,0
-17,-16,-1.2127,-1.1414,0
-16,-15,-1.1414,-1.0701,1
-15,-14,-1.0701,-0.9987,1
-14,-13,-0.9987,-0.9274,70
-13,-12,-0.9274,-0.8560,2772
-12,-11,-0.8560,-0.7847,1363
-11,-10,-0.7847,-0.7134,1051
-10,-9,-0.7134,-0.6420,4414
-9,-8,-0.6420,-0.5707,15412
-8,-7,-0.5707,-0.4994,39245
-7,-6,-0.4994,-0.4280,87143
-6,-5,-0.4280,-0.3567,165517
-5,-4,-0.3567,-0.2853,216635
-4,-3,-0.2853,-0.2140,338438
-3,-2,-0.2140,-0.1427,1036124
-2,-1,-0.1427,-0.0713,9663219
-1,0,-0.0713,0.0000,37654873
0,1,0.0000,0.0713,38542754
1,2,0.0713,0.1427,10551464
2,3,0.1427,0.2140,1136190
3,4,0.2140,0.2853,326453
4,5,0.2853,0.3567,195104
5,6,0.3567,0.4280,21384
6,7,0.4280,0.4994,352
7,8,0.4994,0.5707,19
8,9,0.5707,0.6420,0
9,10,0.6420,0.7134,0
10,11,0.7134,0.7847,1
11,12,0.7847,0.8560,1
12,13,0.8560,0.9274,0
13,14,0.9274,0.9987,0
14,15,0.9987,1.0701,0
15,16,1.0701,1.1414,0
16,17,1.1414,1.2127,0
17,18,1.2127,1.2841,0
18,19,1.2841,1.3554,0
