SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-1.7250,-1.6388,1
-19,-18,-1.6388,-1.5525,0
-18,-17,-1.5525,-1.4663,0
-17,-16,-1.4663,-1.3800,0
-16,-15,-1.3800,-1.2938,0
-15,-14,-1.2938,-1.2075,0
-14,-13,-1.2075,-1.1213,1
-13,-12,-1.1213,-1.0350,1
-12,-11,-1.0350,-0.9488,4
-11,-10,-0.9488,-0.8625,30
-10,-9,-0.8625,-0.7763,1486
-9,-8,-0.7763,-0.6900,29002
-8,-7,-0.6900,-0.6038,90472
-7,-6,-0.6038,-0.5175,66214
-6,-5,-0.5175,-0.4313,9791
-5,-4,-0.4313,-0.3450,79196
-4,-3,-0.3450,-0.2588,271160
-3,-2,-0.2588,-0.1725,1559039
-2,-1,-0.1725,-0.0863,10528768
-1,0,-0.0863,-0.0000,36941426
0,1,-0.0000,0.0862,37423934
1,2,0.0862,0.1725,10824205
2,3,0.1725,0.2588,1729948
3,4,0.2588,0.3450,390497
4,5,0.3450,0.4313,49940
5,6,0.4313,0.5175,4255
6,7,0.5175,0.6038,461
7,8,0.6038,0.6900,127
8,9,0.6900,0.7763,31
9,10,0.7763,0.8625,4
10,11,0.8625,0.9488,3
11,12,0.9488,1.0350,2
12,13,1.0350,1.1213,1
13,14,1.1213,1.2075,0
14,15,1.2075,1.2938,0
15,16,1.2938,1.3800,1
16,17,1.3800,1.4663,0
17,18,1.4663,1.5525,0
18,19,1.5525,1.6388,0
