SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-3.5390,-3.3621,0
-19,-18,-3.3621,-3.1851,0
-18,-17,-3.1851,-3.0082,0
-17,-16,-3.0082,-2.8312,3
-16,-15,-2.8312,-2.6543,8
-15,-14,-2.6543,-2.4773,31
-14,-13,-2.4773,-2.3004,114
-13,-12,-2.3004,-2.1234,433
-12,-11,-2.1234,-1.9465,956
-11,-10,-1.9465,-1.7695,2470
-10,-9,-1.7695,-1.5926,6466
-9,-8,-1.5926,-1.4156,18042
-8,-7,-1.4156,-1.2387,41565
-7,-6,-1.2387,-1.0617,69285
-6,-5,-1.0617,-0.8847,101622
-5,-4,-0.8847,-0.7078,103653
-4,-3,-0.7078,-0.5308,204088
-3,-2,-0.5308,-0.3539,1517637
-2,-1,-0.3539,-0.1769,10714438
-1,0,-0.1769,0.0000,36845198
0,1,0.0000,0.1770,36999721
1,2,0.1770,0.3539,11346264
2,3,0.3539,0.5309,1716899
3,4,0.5309,0.7078,240739
4,5,0.7078,0.8848,47007
5,6,0.8848,1.0617,14415
6,7,1.0617,1.2387,5458
7,8,1.2387,1.4156,2068
8,9,1.4156,1.5926,872
9,10,1.5926,1.7695,347
10,11,1.7695,1.9465,124
11,12,1.9465,2.1234,49
12,13,2.1234,2.3004,17
13,14,2.3004,2.4773,7
14,15,2.4773,2.6543,4
15,16,2.6543,2.8312,0
16,17,2.8312,3.0082,0
17,18,3.0082,3.1851,0
18,19,3.1851,3.3621,0
