SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-1.2854,-1.2211,26
-19,-18,-1.2211,-1.1568,1
-18,-17,-1.1568,-1.0926,0
-17,-16,-1.0926,-1.0283,1
-16,-15,-1.0283,-0.9640,13
-15,-14,-0.9640,-0.8998,64
-14,-13,-0.8998,-0.8355,217
-13,-12,-0.8355,-0.7712,868
-12,-11,-0.7712,-0.7070,3348
-11,-10,-0.7070,-0.6427,14816
-10,-9,-0.6427,-0.5784,61850
-9,-8,-0.5784,-0.5142,115664
-8,-7,-0.5142,-0.4499,93290
-7,-6,-0.4499,-0.3856,51475
-6,-5,-0.3856,-0.3213,35060
-5,-4,-0.3213,-0.2571,51660
-4,-3,-0.2571,-0.1928,108606
-3,-2,-0.1928,-0.1285,793333
-2,-1,-0.1285,-0.0643,9360861
-1,0,-0.0643,-0.0000,38207144
0,1,-0.0000,0.0643,39455995
1,2,0.0643,0.1285,10363308
2,3,0.1285,0.1928,995775
3,4,0.1928,0.2571,205401
4,5,0.2571,0.3213,67316
5,6,0.3213,0.3856,9177
6,7,0.3856,0.4499,790
7,8,0.4499,0.5141,58
8,9,0.5141,0.5784,1
9,10,0.5784,0.6427,0
10,11,0.6427,0.7070,0
11,12,0.7070,0.7712,0
12,13,0.7712,0.8355,0
13,14,0.8355,0.8998,0
14,15,0.8998,0.9640,0
15,16,0.9640,1.0283,0
16,17,1.0283,1.0926,0
17,18,1.0926,1.1568,0
18,19,1.1568,1.2211,0
